feature,coef,auc,abs_coef
has_pair_314_315,3.925564093977174,0.5081973414133515,3.925564093977174
has_pair_62_61,3.747272221034175,0.5126425569348061,3.747272221034175
has_pair_44_46,3.398808909951298,0.508556543837357,3.398808909951298
has_pair_49_70,3.3719185777997995,0.5088612061382073,3.3719185777997995
has_pair_52_53,2.7580729630147203,0.5059145733554882,2.7580729630147203
is_install_op,-2.2115528713331374,0.4720098719577754,2.2115528713331374
is_structural_op,-2.0622205905864823,0.4838721532597009,2.0622205905864823
has_complementary_install,-1.72030693089339,0.49060570814192156,1.72030693089339
minimal_damage,1.3643719378959105,0.5108888671684098,1.3643719378959105
is_kitchen_op,1.1823260531908413,0.5111713419998045,1.1823260531908413
has_rebuild_phase,1.0325828989571102,0.6496679698954159,1.0325828989571102
kitchen_complexity,0.8931692694713954,0.5095994618316879,0.8931692694713954
multi_ops_flag,0.8438095583516935,0.5564838236731502,0.8438095583516935
is_demolish_op,-0.82652348959024,0.4778525070863063,0.82652348959024
extensive_damage,0.714709751314414,0.5914145244844102,0.714709751314414
has_complementary_demolish,0.6926200458173684,0.5283163913595934,0.6926200458173684
missing_install_after_demolish,0.653729932772959,0.49665653406314136,0.653729932772959
install_ops_visible,0.5988877690714082,0.6629304632978201,0.5988877690714082
cand_pop,0.5637664040472025,0.6672433181507185,0.5637664040472025
structural_ops_visible,0.545925511122214,0.5161825758967843,0.545925511122214
kitchen_ops_visible,-0.4374815763314806,0.49702472290098726,0.4374815763314806
finishing_ops_visible,0.38784529334631623,0.5228819313850063,0.38784529334631623
is_finishing_op,0.3200279601317955,0.49103890137816436,0.3200279601317955
repair_ops_visible,-0.2770723574014014,0.4875383899912032,0.2770723574014014
num_ops_visible,-0.263208796536231,0.5688813695630925,0.263208796536231
has_structural_work,-0.240578090332656,0.5159036262339948,0.240578090332656
structural_completion_ratio,0.1819747035256153,0.5161825758967843,0.1819747035256153
demolish_ops_visible,0.14218690805250203,0.6626589653015346,0.14218690805250203
is_winter,-0.1419432137765055,0.49352555957384414,0.1419432137765055
same_area_zip2,0.09696524782803477,0.5097501710487734,0.09696524782803477
install_completion_ratio,0.06653582394492086,0.6629304632978201,0.06653582394492086
finishing_completion_ratio,0.06464232806790458,0.5228819313850063,0.06464232806790458
kitchen_completion_ratio,-0.06249585281734778,0.49702472290098726,0.06249585281734778
m_cos,0.06058015658067099,0.4945311189522041,0.06058015658067099
repair_completion_ratio,-0.039583197986663626,0.4875383899912032,0.039583197986663626
season,0.030524047316908443,0.498862195288828,0.030524047316908443
m_sin,-0.029742137016504744,0.49902544619294303,0.029742137016504744
case_creation_month,-0.021772651220952698,0.4986094362232431,0.021772651220952698
demolish_completion_ratio,0.01293008738910875,0.6626589653015346,0.01293008738910875
same_zip,-0.009371975258128546,0.5011424103215717,0.009371975258128546
room_cluster_id,0.007498200582251804,0.4648413867657121,0.007498200582251804
case_creation_year,-0.0018286514455258657,0.4842694360277588,0.0018286514455258657
damage_zip_p2,0.0014650625220467748,0.5088626439253251,0.0014650625220467748
office_zip_p2,0.0009181525149229016,0.5057994559671586,0.0009181525149229016
office_distance,0.00017423410229566028,0.4927090227739223,0.00017423410229566028
is_repair_op,0.0,0.5,0.0
